번호,질문,예상 답변
116,친환경 세탁제를 사용하나요?,"네, 크린토피아는 환경 보호를 위해 친환경 세탁제를 사용하는 매장을 운영 중입니다. 해당 서비스 여부는 매장에 따라 다를 수 있으니 사전 확인해 주세요."
117,세탁물을 포장하지 않고 받을 수 있나요?,"네, 요청 시 비닐 포장을 최소화하거나 포장하지 않고 제공할 수 있습니다. 환경 보호를 위한 고객님의 참여를 환영합니다."
118,할인 이벤트가 있나요?,"시즌별, 지역별로 다양한 할인 이벤트가 진행됩니다. 최신 이벤트는 크린토피아 공식 홈페이지나 모바일 앱에서 확인하실 수 있습니다."
119,교환권이나 쿠폰을 사용할 수 있나요?,"네, 크린토피아에서 발행된 교환권과 쿠폰은 사용 가능합니다. 유효기간과 사용 조건을 확인 후 사용해 주세요."
120,유아용 의류도 세탁이 가능한가요?,"네, 유아용 의류 및 침구도 세탁 가능합니다. 유아 제품은 민감한 소재가 많으니 매장에서 상담 후 적합한 세탁 방법을 안내받으세요."
121,세탁이 불가능한 품목이 있나요?,"네, 불에 약한 플라스틱 재질, 손상이 쉬운 섬세한 장식물 등이 포함된 의류는 세탁이 어려울 수 있습니다. 매장에서 상담 후 가능 여부를 확인하세요."
122,여행 가방이나 캐리어 세탁도 가능한가요?,"네, 일부 매장에서는 여행 가방 세탁 및 소독 서비스를 제공합니다. 매장에 따라 서비스 가능 여부와 비용이 다를 수 있으니 사전에 문의하세요."
123,세탁을 해서 보관했는데 곰팡이가 생길 수 있나요?,"세탁물의 곰팡이는 습도와 보관상태에 따라 달라질 수 있습니다. 세탁 후 비닐을 제거하고 보관하며, 보관 장소의 습기를 제거하는 것이 중요합니다."
124,"옷에 오염이 묻었는데, 세탁을 맡기면 오염이 깨끗이 제거되나요?","오염원의 종류, 고착상태, 의류 소재, 경과 시간 등에 따라 처리 결과가 달라질 수 있습니다. 일반 세탁으로 제거되지 않는 경우 특수오염제거크리닝을 의뢰해야 합니다."
125,드라이크리닝과 물세탁 중 어떤 세탁방법이 더 좋은가요?,"세탁방법은 섬유의 종류, 가공상태, 오염에 따라 선택해야 합니다. '깨끗한 세탁' 기준으로는 물세탁이 효과적이지만, 의류 소재나 가공법에 따라 물세탁이 불가능한 경우 드라이크리닝을 해야 합니다."
126,"세탁 후, 세탁물에 문제가 있을 경우 어떻게 해야 하나요?","1. 이용한 가맹점에 문제 세탁물 접수
2. 지역별 고객센터에서 재손질 또는 A/S 진행
3. 재세탁/오염제거: 2-3일 소요
4. 제조회사 A/S: 2주 소요
5. 불만족 시 소비자단체 심의 의뢰 가능
6. 세탁상 과실: 소비자분쟁해결기준에 따른 보상
7. 제조업체 과실: 교환/환불 요구 가능
8. 고객 사용상 과실: 보상 불가"
127,"세탁 후, 장식(단추, 지퍼 등)이 파손되었을 경우, A/S는 어디서 하나요?","1. 해당 세탁물을 매장에 재접수
2. 제조회사에 A/S 의뢰 (2주 소요)
3. 제조처 없거나 A/S 불가 시 크린토피아 고객센터 수선실에서 진행"
128,나중에 확인해 보니 세탁물에 문제가 있습니다. 문제가 있는 세탁물은 언제까지 A/S나 보상이 가능한가요?,세탁물 인도 후 6개월 이내에 A/S 또는 보상 가능 (소비자분쟁해결기준 기준)
129,드라이크리닝을 맡겼는데 오염이 거의 제거되지 않았어요?,"1. 드라이크리닝은 수축, 변형 예방 목적
2. 석유계 용제 사용으로 지용성 오염 제거에 효과적
3. 수용성 오염(땀, 음식물 등)은 잘 제거되지 않을 수 있음
4. 접수 시 오염 부위와 성분을 상세히 설명 필요"
130,로열크리닝이 일반세탁과 다른 점은 무엇인가요?,"로얄세탁은 고가의 의류나 명품 등 고객이 특별히 아끼는 의류에 대해 차별화된 세탁 품질을 제공해드리는 서비스입니다. 단독 세탁의 개념은 아니며, 세탁 시 세탁물을 망에 넣어 구분 세탁하고, 특히 다림질을 꼼꼼히 진행합니다. 포장지 또한 통풍이 잘되고 고급스러운 흰색 부직포로 포장되어 출고됩니다."
131,로열크리닝 요금은 얼마입니까?,"일반 세탁 요금의 2배이며, 셔츠(일반), 셔츠(드라이)는 3,000원 입니다."
132,운동화도 드라이크리닝을 하나요?,"운동화는 드라이 용제에 의해 접착제로 접합시킨 창과 피가 분리되므로 드라이클리닝이 불가능 합니다. 또한, 세무나 가죽의 경우 제조사에서 세탁을 하지 않도록 표기되어 있는 경우가 있습니다. 이런 경우 오염제거를 위해 세탁을 하실 경우, 물세탁을 진행하게 되며, 운동화 소재의 특성상 탈색, 수축, 거칠어짐, 이염 등이 발생하는 경우가 있습니다."
133,눈에 젖은 뒤 어그 부츠 가죽이 굳어 버렸는데 복원이 되나요?,"제설 작업에 사용된 염화칼슘이 천연가죽을 굳게 한 것입니다. 색상은 복원이 어려우며, 외형은 천연어그 복원서비스를 의뢰하시면 70~80% 이상 복원이 가능합니다. 하지만, 굳어진 후 오래된 제품과 파손이 있는 제품은 복원이 되지 않습니다."
134,구두는 어떻게 세탁하나요?,"가죽신발은 신고 버려야 하나 발 냄새가 심하거나 꼭 세탁을 원하시는 경우에는 물세탁을 하며 특수 약품을 사용하여 물빠짐과 경화현상(딱딱해지는 현상)을 최소화시키고 형태를 고정하여 자연건조 후 광택을 냅니다. 이때 소재의 특성상 탈색, 수축, 변형, 거칠어지는 현상이 일어날 수 있습니다."
135,땀제거 서비스는 무엇인가요?,"땀제거는 드라이클리닝 후에도 땀이 남아 뻣뻣한 느낌이 있는 경우 땀 성분을 제거하는 특수 서비스입니다.

특히, 여름철 정장바지가 땀에 의해 뻣뻣해진 경우 땀제거 가공을 하면 땀냄새가 제거되고 촉감도 개선됩니다.

땀제거 서비스는 개별, 특수처리가 필요한 서비스로 별도 요금(3,000원~)이 부과됩니다."
136,황변제거 서비스는 무엇인가요?,"황변 제거는 땀, 인체 분비물과 공기중의 가스로 인해 누렇게 된 얼룩(황변)을 제거하는 특수 서비스입니다. 품목에 따라 최소 2,000원부터 적용됩니다."
137,다운점퍼는 어떻게 세탁 하나요?,"다운점퍼는 드라이용제에 세탁을 하게 되면 다운의 유지가 빠져 나와 보온력이 저하되며 털이 부서지는 현상이 발생합니다. 따라서, 물세탁을 해야 품질을 보호하고 보온력도 유지됩니다. 가정에서도 세탁을 할 수는 있으나 폭신하게 원형대로 복원하기가 어려울 수 있습니다."
138,가죽이나 모피도 세탁이 가능한가요?,"다운점퍼는 드라이용제에 세탁을 하게 되면 다운의 유지가 빠져 나와 보온력이 저하되며 털이 부서지는 현상이 발생합니다. 따라서, 물세탁을 해야 품질을 보호하고 보온력도 유지됩니다. 가정에서도 세탁을 할 수는 있으나 폭신하게 원형대로 복원하기가 어려울 수 있습니다."
139,캐리어(여행용가방)도 세탁이 가능한가요?,"캐리어(여행용 가방)도 세탁이 가능합니다. 

다만, 블랙 엑설런스 센터에서 전문 세탁으로 접수되어 세탁기간이 약 15일~20일 정도 소요 됩니다.  "
140,이불 진공압축포장은 무엇인가요?,이불 진공압축포장은 무엇인가요?
141,같은 품목도 매장에 따라 세탁요금이 다를 수 있나요?,"
동일 품목이라도 소재나 오염 정도에 따라 추가요금이 발생될 수 있으며, 지역이나 매장 입지에 따라서도 요금의 차이가 있을 수 있습니다. "
142,세탁요금은 선불인가요?,선불을 원칙으로 하고 있습니다.
143,요금은 신용카드로 결제할 수 있나요?,모든 세탁요금은 신용카드 결제가 가능합니다.
144,"잔돈 마일리지는 무엇이고, 어떻게 사용하나요?","거스름돈이 10원 단위로 남는 경우, 고객님의 편의를 위하여 다음에 사용하실 수 있도록 매장에 적립 처리해 드리는 제도입니다. 고객님께서 원하지 않으실 경우에는 적립 처리하지 않고 바로 거슬러 드립니다."
145,크리닝데이 할인은 무엇인가요?,"크리닝데이는 매주 수요일에 세탁요금의 7%를 할인해 드리는 혜택 입니다. 단, 셔츠류, 넥타이·머플러류 및 부가서비스 등 일부 품목은 할인에서 제외됩니다.
<대형마트 및 기업형 슈퍼마켓 입점 매장은 매주 목요일 적용(일부 매장 제외)>"
146,이불 세탁하는 날은 언제인가요?,"이불 세탁하는 날은 매주 수요일과 토요일에 침구류 세탁요금의 20%를 할인해 드리는 행사입니다.
<대형마트 및 기업형 슈퍼마켓 입점 매장은 목요일과 토요일에 적용>"
147,생일할인은 어떻게 혜택을 받나요?,"
생일할인은 이용하시는 매장에서 생일을 등록하시면 받을 수 있습니다. 생일을 등록하신 고객은 등록된 생일 기준 앞뒤(총 31일) 내에 연 1회 전품목 15%할인을 받으실 수 있습니다.(단, 셔츠류, 넥타이·머플러류 및 부가서비스 요금은 할인 제외)

* 크린토피아 홈페이지 생일 등록 고객은 할인 문자가 발송되지 않으며, 반드시 이용하시는 매장에서 등록 하셔야 합니다.
* 2019년 1월 1일부터 결혼기념일 할인 제도는 폐지되었습니다."
148,유아복 할인이 있나요?,"일반 성인 세탁물 기준 15%할인이 적용됩니다.

(유아복 기준 - 의류 사이즈 130(9호)이하, 신발 사이즈 190mm 이하)"
149,두 가지 이상의 할인을 중복 적용 받을 수 있나요?,두 가지 이상의 할인이 동시에 중복 적용되지 않습니다.
150,스마트 무인세탁함은 어떻게 이용하나요?,"스마트 무인세탁함은 365일, 24시간 고객님이 원하시는 시간에

세탁물을 접수하고 찾아가실 수 있으며, 카드결제가 가능한 시스템 입니다.

 단, 모든 매장에 설치 된 것이 아니기 때문에 홈페이지 <매장찾기- 스마트무인세탁함>에서

스마트 무인세탁함이 설치된 매장을 확인하신 후 이용해 주시기 바랍니다.

 

스마트 무인세탁함의 이용방법은

세탁물을 접수하시면 매장 직원이 확인하고 확인문자를 보내드리며,

세탁후 세탁완료문자를 보내드립니다.

문자를 받으신 후 무인세탁함에서 카드결제하시고, 세탁물을 찾아가시면 됩니다.  "
152,수거배달서비스를 하나요?,모든 매장에서 수거배달을 하고 있지는 않습니다. 이용하실 매장에 문의하시거나 홈페이지에서 ‘매장찾기’를 하시면 해당 매장의 수거배달서비스 여부를 확인하실 수 있습니다.
153,세탁물은 며칠 이내에 찾아가야 하나요?,"맡기신 세탁물은 10일 이내에 찾아가 주시고 찾아가지 않은 세탁물에 대해서는 1일 단위로 계산하여 세탁요금의 3%의 보관료를 부과할 수 있습니다. 그리고, 3개월 이내에 찾아가지 않는 세탁물에 대해서는 분실, 도난 등의 책임을 지지 않으며, 6개월이 지난 후에는 처분될 수 있습니다"
154,세탁물을 찾을 때 영수증(보관증)이 꼭 필요한가요?,"신속하고 정확하게 세탁물을 인도해 드리기 위해서 보관증은 꼭 필요합니다. 단, 보관증을 불가피하게 분실하셨을 경우에는 매장에 방문하셔서 도착문자를 보여주시고 매장에 비치되어 있는 세탁물 인도 확인서류에 고객님 이름과 연락처를 남겨주시면 됩니다.
크린토피아 앱을 이용하시면 세탁물 접수현황을 실시간으로 확인하실 수 있으며, 영수증(보관증)을 따로 보관하지 않으셔도 되기 때문에 추천드립니다."
155,세탁은 얼마나 오래 걸리나요?,"영업일 기준으로 3박 4일의 기간이 소요됩니다. 그러나, 세탁물이 한꺼번에 몰리는 4월, 5월의 경우에는 기간이 다소 더 소요될 수 있습니다. 또한, 가죽이나 모피의 경우 보통 10~15일정도(세탁물이 많은 4,5월의 경우 20~40일정도)소요되는데, 제품 종류나 수작업 여부에 따라 더 오래 걸릴 수 있습니다."
156,"급자, 특급, 초특급(당일 세탁 서비스)은 어떤 서비스인가요?","크린토피아의 세탁소요기간은 3박 4일입니다. 하지만 추가로 유료서비스(급자, 특급, 초특급)를 이용할 경우 3박 4일보다 빠르게 받아볼 수 있습니다. 

급자는 2박 3일내에 받아볼 수 있는 서비스로 세탁요금에 200원이 추가됩니다.

특급은 당일 접수하여 다음날 저녁까지 납품해 드리는 서비스로, 세탁요금에 500원이 추가됩니다.

초특급은 당일 세탁서비스로 오전에 일찍 세탁물을 맡기면 저녁에 받아볼 수 있는 빠른 세탁서비스입니다. 요금은 해당품목의 50% 요금이 추가됩니다.

단, 매장이나 세탁 품목에 따라 불가한 경우가 있으며, 매장 별로 특급, 초특급의 접수시간에 차이가 있기 때문에 해당 서비스를 이용할 경우 해당 매장에 사전 문의하시기 바랍니다. "
157,의류 수선도 하나요?,모든 매장에서 의류 수선을 하고 있지는 않습니다. 이용하실 매장에 문의하시거나 홈페이지에서 ‘매장찾기’를 하시면 해당 매장의 의류 수선서비스 여부를 확인하실 수 있습니다.
158,오리털 패딩이 뭉치지 않게 세탁 가능한가요?,모든 매장에서 의류 수선을 하고 있지는 않습니다. 이용하실 매장에 문의하시거나 홈페이지에서 ‘매장찾기’를 하시면 해당 매장의 의류 수선서비스 여부를 확인하실 수 있습니다.
159,세탁을 맡기면 전부 드라이크리닝을 하나요?,"드라이크리닝이냐? 물세탁이냐?는 옷의 소재나, 가공상태, 오염 정도, 케어 라벨 등에 따라 세탁 전문가가 의류에 맞게 결정하게 됩니다. 만약, 고객님께서 꼭 드라이크리닝을 원하실 경우에는 세탁물을 접수하실 때 미리 말씀해 주시고, 케어 라벨과 고객님이 요구하시는 세탁방법이 다를 경우에는 별도의 ‘드라이클리닝 요청서’를 작성해 주셔야 합니다."
160,이용하던 매장이 폐점된 경우에는 어떻게 세탁물을 찾나요?,해당 가맹점을 관할하는 고객센터에서 해결해 드립니다. 본사 대표번호(1577-4560)로 연락 주시면 각 지역별 고객센터를 확인하실 수 있습니다.
161,문자 '수신거부'나 '수신거부 해제'는 어떻게 하나요?,"문자 수신거부방법은 080-745-0061번으로 전화 하신 후, 안내에 따라 1번(문자수신거부)을 클릭하면 됩니다. 문자 수신 거부된 번호로 다시 문자를 받고자 하시면 같은 전화번호 080-745-0061번으로 전화 하신 후, 안내에 따라 2번(문자 수신 거부 해제)을 클릭 하시면 됩니다."
162,이불 빨래도 되나요?,"네, 이불 빨래 가능합니다."
163,드라이클리닝 서비스도 제공하시나요?,"네 제공합니다. 기본셔츠 기준으로 5,000원입니다 "
